shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_177169,41.2943997698909,-92.6484891756158,1,0
p_177169,41.294394,-92.648929,2,36.84513675
p_177169,41.294391,-92.649825,3,111.8945838
p_177169,41.295225,-92.649831,4,204.51966241
p_177169,41.295308,-92.649832,5,213.73799135
p_177169,41.295277,-92.648958,6,287.02389309
p_177169,41.295267,-92.648301,7,342.06449458
p_177169,41.295286,-92.648144,8,355.38281818
p_177169,41.295321,-92.648037,9,365.15163834
p_177169,41.295362,-92.647968,10,372.50925957
p_177169,41.295431,-92.6479,11,382.05718461
p_177169,41.295499,-92.64787,12,390.01629511
p_177169,41.295632,-92.647856,13,404.83369717
p_177169,41.295682,-92.647811,14,411.54501792
p_177169,41.295703,-92.647755,15,416.78331265
p_177169,41.295703,-92.647637,16,426.66676158
p_177169,41.295707,-92.647427,17,444.26155884
p_177169,41.295708,-92.647089,18,472.57199286
p_177169,41.295697,-92.647037,19,477.09549934
p_177169,41.295674,-92.646981,20,482.43639342
p_177169,41.295639,-92.646947,21,487.25503118
p_177169,41.295547,-92.646938,22,497.50028674
p_177169,41.295468,-92.646925,23,506.341305
p_177169,41.29542,-92.646889,24,512.46585652
p_177169,41.295385,-92.646842,25,517.99818203
p_177169,41.29534,-92.646783,26,525.02653388
p_177169,41.295311,-92.646691,27,533.37831252
p_177169,41.295316,-92.646313,28,565.04390997
p_177169,41.295314,-92.645752,29,612.03297484
p_177169,41.295314,-92.645312,30,648.88673217
p_177169,41.295314,-92.645108,31,665.97347421
p_177169,41.295317,-92.644508,32,716.22970113
p_177169,41.295321,-92.643893,33,767.74311446
p_177169,41.295791,-92.643893,34,819.94113825
p_177169,41.296237,-92.643893,35,869.47373499
p_177169,41.296679,-92.6439,36,918.56559818
p_177169,41.29695,-92.643904,37,948.6646278
p_177169,41.29712,-92.643906,38,967.54551204
p_177169,41.298495,-92.643907,39,1120.25257943
p_177169,41.298497,-92.643446,40,1158.86402847
